epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,200.451,3.02139,8.64718,0.03616,0.39706,0.32998,0.25732,0.11875,2.20953,6.51607,0.03211,0.00797802,0.00265934,0.00797802,0.00265934,0.0747363,0.0694176,0.00797802,0.00265934
2,363.687,2.11104,4.27454,0.02278,0.50305,0.41894,0.39067,0.20545,1.89223,4.44489,0.026,0.0159741,0.00532471,0.0159741,0.00532471,0.049399,0.0387496,0.0159741,0.00532471
3,523.622,1.9028,3.32761,0.01991,0.48515,0.54906,0.50974,0.28845,1.92526,3.81236,0.02829,0.0239546,0.00798487,0.0239546,0.00798487,0.0240462,0.00807644,0.0239546,0.00798487
4,684.798,1.86957,2.93474,0.01878,0.54411,0.55485,0.54483,0.33762,1.78916,2.88075,0.02446,0.0239473,0.00798243,0.0239473,0.00798243,0.0239473,0.00798243,0.0239473,0.00798243
5,845.351,1.78604,2.52326,0.01795,0.6651,0.55147,0.57187,0.35927,1.74898,2.6778,0.02336,0.0239063,0.00796877,0.0239063,0.00796877,0.0239063,0.00796877,0.0239063,0.00796877
6,1005.68,1.71341,2.29857,0.01691,0.6052,0.60077,0.62381,0.40469,1.71359,2.38593,0.02309,0.0238537,0.00795125,0.0238537,0.00795125,0.0238537,0.00795125,0.0238537,0.00795125
7,1166.1,1.68299,2.08747,0.01615,0.61816,0.64721,0.64004,0.40279,1.76806,2.33632,0.02423,0.0237896,0.00792986,0.0237896,0.00792986,0.0237896,0.00792986,0.0237896,0.00792986
8,1325.99,1.64057,2.01525,0.016,0.73507,0.68771,0.7046,0.46553,1.66401,2.27332,0.02152,0.0237139,0.00790463,0.0237139,0.00790463,0.0237139,0.00790463,0.0237139,0.00790463
9,1486.54,1.61152,1.8972,0.01503,0.74107,0.68621,0.71938,0.47738,1.69991,2.06113,0.02319,0.0236268,0.00787559,0.0236268,0.00787559,0.0236268,0.00787559,0.0236268,0.00787559
10,1647.69,1.58959,1.87211,0.01478,0.68964,0.70229,0.71108,0.4584,1.69859,2.03994,0.02248,0.0235283,0.00784276,0.0235283,0.00784276,0.0235283,0.00784276,0.0235283,0.00784276
