epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,157.041,3.11981,9.13032,0.03421,0.23608,0.3549,0.21425,0.08131,2.23389,6.72003,0.0198,0.00796429,0.00265476,0.00796429,0.00265476,0.0747798,0.0694702,0.00796429,0.00265476
2,314.762,2.12598,4.65466,0.02174,0.44836,0.47549,0.40781,0.18258,1.97991,4.38122,0.01697,0.0159628,0.00532092,0.0159628,0.00532092,0.0494449,0.0388031,0.0159628,0.00532092
3,472.433,1.94613,3.6996,0.01862,0.42783,0.51622,0.43671,0.23345,2.00231,6.91528,0.01706,0.0239551,0.00798505,0.0239551,0.00798505,0.0241039,0.00813386,0.0239551,0.00798505
4,630.475,1.90072,3.24404,0.01771,0.39145,0.55839,0.45444,0.28327,1.94486,6.12176,0.01536,0.0239794,0.00799313,0.0239794,0.00799313,0.0239794,0.00799313,0.0239794,0.00799313
5,787,1.8331,2.9057,0.01722,0.66823,0.47318,0.53883,0.32624,1.87187,2.98524,0.01535,0.0239634,0.00798779,0.0239634,0.00798779,0.0239634,0.00798779,0.0239634,0.00798779
6,944.765,1.79635,2.60822,0.01606,0.6954,0.58425,0.62009,0.41772,1.78245,4.08304,0.01461,0.0239428,0.00798093,0.0239428,0.00798093,0.0239428,0.00798093,0.0239428,0.00798093
7,1101.89,1.75366,2.48536,0.0155,0.66874,0.57769,0.58752,0.39753,1.88581,2.96195,0.01477,0.0239177,0.00797255,0.0239177,0.00797255,0.0239177,0.00797255,0.0239177,0.00797255
8,1258.32,1.70712,2.38405,0.01527,0.67752,0.65266,0.6653,0.45789,1.77673,2.50467,0.01429,0.023888,0.00796265,0.023888,0.00796265,0.023888,0.00796265,0.023888,0.00796265
9,1415.07,1.68919,2.30137,0.01507,0.68345,0.67277,0.69202,0.49868,1.69955,2.24832,0.01281,0.0238537,0.00795125,0.0238537,0.00795125,0.0238537,0.00795125,0.0238537,0.00795125
10,1571.87,1.65665,2.16741,0.01423,0.7379,0.61499,0.69034,0.47736,1.7544,2.19473,0.01335,0.023815,0.00793833,0.023815,0.00793833,0.023815,0.00793833,0.023815,0.00793833
11,1729.87,1.65343,2.07396,0.0139,0.70802,0.56986,0.66204,0.46071,1.67391,2.13767,0.01303,0.0237717,0.00792391,0.0237717,0.00792391,0.0237717,0.00792391,0.0237717,0.00792391
12,1887.09,1.64759,2.07855,0.01401,0.72479,0.69654,0.70786,0.50618,1.72813,2.20572,0.0125,0.023724,0.00790799,0.023724,0.00790799,0.023724,0.00790799,0.023724,0.00790799
13,2044.02,1.62018,1.97403,0.01372,0.75126,0.6912,0.72707,0.52298,1.65485,1.95642,0.01276,0.0236718,0.00789058,0.0236718,0.00789058,0.0236718,0.00789058,0.0236718,0.00789058
14,2200.01,1.59923,1.96262,0.01351,0.76751,0.68103,0.71837,0.53536,1.67611,2.03173,0.0125,0.0236151,0.00787169,0.0236151,0.00787169,0.0236151,0.00787169,0.0236151,0.00787169
15,2357.82,1.58912,1.89757,0.01332,0.68789,0.70813,0.72292,0.52831,1.6802,1.97265,0.0131,0.023554,0.00785132,0.023554,0.00785132,0.023554,0.00785132,0.023554,0.00785132
16,2513.89,1.5737,1.8621,0.01337,0.77692,0.69018,0.73463,0.53339,1.60675,1.83094,0.01272,0.0234885,0.00782948,0.0234885,0.00782948,0.0234885,0.00782948,0.0234885,0.00782948
17,2672.17,1.5732,1.81151,0.01287,0.76653,0.69406,0.74504,0.54365,1.59807,1.82019,0.01203,0.0234186,0.00780618,0.0234186,0.00780618,0.0234186,0.00780618,0.0234186,0.00780618
18,2830.67,1.57253,1.8192,0.01277,0.77355,0.70702,0.74023,0.55893,1.58255,1.79568,0.01237,0.0233443,0.00778143,0.0233443,0.00778143,0.0233443,0.00778143,0.0233443,0.00778143
19,2989.49,1.55954,1.77447,0.01272,0.78395,0.7007,0.74087,0.55631,1.59882,1.74051,0.0121,0.0232657,0.00775524,0.0232657,0.00775524,0.0232657,0.00775524,0.0232657,0.00775524
20,3146.7,1.53804,1.7312,0.01284,0.78154,0.70664,0.74972,0.55162,1.59099,1.72828,0.01217,0.0231828,0.00772761,0.0231828,0.00772761,0.0231828,0.00772761,0.0231828,0.00772761
21,3302.9,1.52756,1.69835,0.01258,0.73974,0.7162,0.75193,0.56915,1.59563,1.68562,0.01165,0.0230957,0.00769856,0.0230957,0.00769856,0.0230957,0.00769856,0.0230957,0.00769856
22,3459.78,1.51787,1.68353,0.01257,0.79108,0.68804,0.76042,0.56435,1.56939,1.67936,0.01141,0.0230043,0.0076681,0.0230043,0.0076681,0.0230043,0.0076681,0.0230043,0.0076681
23,3617.22,1.51114,1.62637,0.01206,0.79852,0.67649,0.75497,0.57179,1.54009,1.7036,0.01115,0.0229087,0.00763625,0.0229087,0.00763625,0.0229087,0.00763625,0.0229087,0.00763625
